symbol,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
KO,2025-09-30,2025-10-21,0.82,0.78,0.04,5.1282
KO,2025-06-30,2025-07-22,0.87,0.84,0.03,3.5714
KO,2025-03-31,2025-04-29,0.73,0.72,0.01,1.3889
KO,2024-12-31,2025-02-11,0.55,0.52,0.03,5.7692
KO,2024-09-30,2024-10-23,0.77,0.75,0.02,2.6667
KO,2024-06-30,2024-07-23,0.84,0.81,0.03,3.7037
KO,2024-03-31,2024-04-30,0.72,0.7,0.02,2.8571
KO,2023-12-31,2024-02-13,0.49,0.49,0,0
KO,2023-09-30,2023-10-24,0.74,0.69,0.05,7.2464
KO,2023-06-30,2023-07-26,0.78,0.72,0.06,8.3333
KO,2023-03-31,2023-04-24,0.68,0.65,0.03,4.6154
